"SALE_DT","STORE","SALES"
2019-01,Store_a,611669810.2299999
2019-02,Store_a,625485211.0099999
2019-03,Store_a,727865059.5300001
2019-04,Store_a,649909077.14
2019-05,Store_a,611804354.6400001
2019-06,Store_a,575073551.9200001
2019-07,Store_a,551155746.8199998
2019-08,Store_a,574583433.3799999
2019-09,Store_a,559653316.8900001
2019-10,Store_a,573571410.6099998
2019-11,Store_a,627083314.9799999
2019-12,Store_a,889399770.5099998
2020-01,Store_a,533238399.28999996
2020-02,Store_a,586468747.52
2020-03,Store_a,654846049.35
2020-04,Store_a,351960453.88000005
2020-05,Store_a,401133392.8399999
2020-06,Store_a,430523774.10999984
2020-07,Store_a,441384660.46000004
2020-08,Store_a,453036585.9
2020-09,Store_a,467877147.48999995
2020-10,Store_a,461741105.13000005
2020-11,Store_a,492089059.99999994
2020-12,Store_a,755016601.4799999
2021-01,Store_a,465343519.53
2021-02,Store_a,487777590.96999997
2021-03,Store_a,552145240.4000002
2021-04,Store_a,527199578.61999995
2021-05,Store_a,504869990.27
2021-06,Store_a,447160080.6600001
2021-07,Store_a,445958446.59999985
2021-08,Store_a,476026899.8
2021-09,Store_a,506085739.64
2021-10,Store_a,543508471.2199999
2021-11,Store_a,550061652.8100001
2021-12,Store_a,857960549.5899999
2022-01,Store_a,498002311.5799999
2022-02,Store_a,532729247.02
2022-03,Store_a,753741031.9199997
2022-04,Store_a,605432619.73
2022-05,Store_a,548067078.0199999
2022-06,Store_a,502710597.1800001
